"Component","baseline","ar1","ar1_nugget","ta","tps"
"block","0.41 (0.26)","0.44 (0.27)","0.25 (0.29)","0.00 (NA)","0.10 (0.12)"
"wp","0.00 (NA)","0.06 (0.16)","0.00 (NA)","0.00 (NA)","0.00 (NA)"
"units!R","0.82 (0.13)",NA,NA,NA,NA
"row_f:col_f!R",NA,"0.75 (0.19)","0.51 (0.53)","0.33 (0.22)","0.69 (0.12)"
"row_f:col_f!row_f!cor",NA,"-0.13 (0.16)","0.96 (NA)","0.86 (0.22)",NA
"units!units",NA,NA,"0.72 (0.14)","0.70 (0.16)",NA
"grp(TP.R.1_fcol)",NA,NA,NA,NA,"0.00 (NA)"
"grp(TP.R.2_fcol)",NA,NA,NA,NA,"0.00 (NA)"
"grp(TP.C.1_frow)",NA,NA,NA,NA,"0.66 (1.04)"
"grp(TP.C.2_frow)",NA,NA,NA,NA,"1.33 (NA)"
"grp(TP_fcol_frow)",NA,NA,NA,NA,"0.00 (NA)"
