"Component","baseline","scn_covariate","ar1","ar1_nugget","ta","tps"
"block","205469.0 (114417.1)","134798.8 (77434.7)","109761.6 (71264.1)","0.11 (NA)","0.02 (NA)","0.10 (NA)"
"wp","0.01 (NA)","5890.1 (17120.9)","0.01 (NA)","0.02 (NA)","0.05 (NA)","0.10 (NA)"
"units!R","120231.7 (19380.8)",NA,NA,NA,NA,NA
"row_f:col_f!R",NA,"94402.3 (20883.7)","115104.2 (24919.2)","178042.1 (116217.4)","67731.2 (45563.4)","61396.7 (12709.9)"
"row_f:col_f!row_f!cor",NA,NA,"0.41 (0.12)","0.95 (0.05)","0.92 (0.08)",NA
"units!units",NA,NA,NA,"55539.8 (13261.2)","61306.9 (13900.2)",NA
"grp(TP.R.1_fcol)",NA,NA,NA,NA,NA,"1765980.1 (1886014.9)"
"grp(TP.R.2_fcol)",NA,NA,NA,NA,NA,"902655.0 (1145284.0)"
"grp(TP.C.1_frow)",NA,NA,NA,NA,NA,"226653.3 (192752.0)"
"grp(TP.C.2_frow)",NA,NA,NA,NA,NA,"134322.3 (199737.6)"
"grp(TP_fcol_frow)",NA,NA,NA,NA,NA,"42250.2 (96347.4)"
